Airline,Flight,AirportFrom,AirportTo,DayOfWeek,Time,Length,Delay
US,498,DEN,CLT,3,55,179,0
B6,98,DEN,JFK,3,59,213,0
UA,576,SEA,DEN,3,331,159,0
OO,6644,TUS,DEN,3,333,112,0
OO,6647,BZN,DEN,3,345,107,0
UA,756,SFO,DEN,3,348,158,0
EV,7378,DEN,CVG,3,360,158,0
F9,225,MDW,DEN,3,360,157,1
OO,6285,MFR,DEN,3,360,155,1
OO,6586,PSP,DEN,3,360,131,0
OO,6612,SLC,DEN,3,360,93,0
OO,6682,SBA,DEN,3,360,142,0
OO,6732,MRY,DEN,3,360,146,0
OO,6949,EUG,DEN,3,360,155,0
UA,18,LAX,DEN,3,360,146,0
UA,32,PDX,DEN,3,360,146,0
UA,410,SMF,DEN,3,360,144,0
UA,532,DEN,ORD,3,360,141,0
UA,707,ORD,DEN,3,360,160,0
UA,740,OAK,DEN,3,360,146,0
WN,109,MSY,DEN,3,360,180,0
WN,1929,LAX,DEN,3,360,135,0
WN,2529,IND,DEN,3,360,185,1
WN,647,PHX,DEN,3,360,105,1
WN,735,IAD,DEN,3,360,240,0
WN,748,SMF,DEN,3,360,145,1
OO,6497,BFL,DEN,3,362,144,0
OO,6749,RAP,DEN,3,362,76,0
OO,7052,DRO,DEN,3,362,76,0
UA,59,DEN,SFO,3,362,167,0
AA,1002,DEN,DFW,3,365,125,0
OO,6558,RNO,DEN,3,365,129,0
OO,6722,PSC,DEN,3,365,139,1
UA,112,ONT,DEN,3,365,139,0
WN,1461,DEN,LAS,3,365,120,1
WN,1481,BNA,DEN,3,365,185,1
WN,1687,STL,DEN,3,365,150,1
WN,1945,SEA,DEN,3,365,160,1
WN,2885,LAS,DEN,3,365,115,0
WN,317,MDW,DEN,3,365,170,1
F9,653,ATL,DEN,3,370,201,1
OO,6674,FAT,DEN,3,370,134,0
WN,1762,OAK,DEN,3,370,155,0
WN,3684,SAT,DEN,3,370,145,0
WN,380,SFO,DEN,3,370,155,0
WN,682,AUS,DEN,3,370,140,0
UA,791,LAS,DEN,3,371,120,0
UA,894,DEN,LAX,3,371,159,0
UA,871,MCI,DEN,3,372,118,0
UA,243,MSP,DEN,3,373,139,0
UA,812,GEG,DEN,3,373,133,0
DL,1408,DEN,MSP,3,375,129,0
DL,1516,DEN,ATL,3,375,170,0
F9,103,MSP,DEN,3,375,131,0
F9,143,HOU,DEN,3,375,146,0
F9,192,DAY,DEN,3,375,189,0
F9,262,STL,DEN,3,375,144,0
F9,38,SEA,DEN,3,375,154,0
F9,496,CAK,DEN,3,375,202,1
UA,33,DFW,DEN,3,375,136,0
WN,1400,DEN,MDW,3,375,145,0
WN,840,DEN,PHX,3,375,120,0
OO,6438,GJT,DEN,3,378,60,0
OO,7037,CPR,DEN,3,378,69,0
UA,484,SAN,DEN,3,378,149,0
UA,988,DSM,DEN,3,379,127,0
F9,650,SFO,DEN,3,380,150,0
F9,765,AUS,DEN,3,380,133,1
FL,300,DEN,ATL,3,380,167,0
OO,6701,FAR,DEN,3,380,128,0
OO,6974,HDN,DEN,3,380,67,1
UA,658,SJC,DEN,3,380,156,0
WN,1472,DEN,LAX,3,380,155,0
WN,496,PDX,DEN,3,380,145,1
OO,6727,MTJ,DEN,3,384,63,0
F9,71,DTW,DEN,3,385,189,0
F9,790,PDX,DEN,3,385,144,1
WN,264,DEN,STL,3,385,120,0
WN,734,DEN,MCI,3,385,105,1
UA,491,OKC,DEN,3,387,113,0
OO,6564,COS,DEN,3,389,49,0
F9,416,LAX,DEN,3,390,140,0
F9,510,SAN,DEN,3,390,143,0
WN,1254,TUS,DEN,3,390,115,1
WN,2459,OKC,DEN,3,390,100,1
WN,324,GEG,DEN,3,390,135,1
WN,459,ONT,DEN,3,390,135,1
UA,268,OMA,DEN,3,393,107,1
AA,1399,DEN,ORD,3,395,155,0
F9,304,GEG,DEN,3,395,130,0
F9,855,DEN,PHX,3,395,110,0
WN,134,SAN,DEN,3,395,140,0
WN,200,BWI,DEN,3,395,255,0
WN,690,DEN,BWI,3,395,205,0
WN,752,HOU,DEN,3,395,155,1
OO,6293,FSD,DEN,3,398,102,1
UA,875,ICT,DEN,3,399,101,1
F9,110,DEN,MSP,3,400,117,0
F9,366,DEN,MKE,3,400,133,1
OO,6540,BIS,DEN,3,400,107,0
UA,471,TUL,DEN,3,400,110,0
WN,1122,DTW,DEN,3,400,200,1
WN,1615,MSP,DEN,3,400,140,0
WN,973,SJC,DEN,3,400,145,1
AA,393,DFW,DEN,3,405,125,0
F9,265,SNA,DEN,3,405,145,0
F9,822,MCI,DEN,3,405,110,1
F9,847,IND,DEN,3,405,169,0
OO,4668,SLC,DEN,3,405,85,1
OO,6816,SGF,DEN,3,405,131,0
WN,153,LAS,DEN,3,405,115,0
WN,356,DEN,HOU,3,405,145,0
OO,6764,LNK,DEN,3,408,97,0
US,62,DEN,CLT,3,410,189,0
WN,1546,DEN,SAN,3,410,150,0
WN,661,PHX,DEN,3,410,110,1
UA,323,PHL,DEN,3,415,271,0
F9,128,DEN,DFW,3,420,110,0
F9,401,DEN,LAX,3,420,145,0
F9,766,LAS,DEN,3,420,110,0
OO,6738,ASE,DEN,3,420,55,0
UA,144,SFO,DEN,3,420,165,0
UA,415,MSY,DEN,3,420,186,0
UA,440,SNA,DEN,3,420,155,1
WN,1006,BOI,DEN,3,420,110,1
WN,598,MCI,DEN,3,420,120,1
WN,605,DEN,SLC,3,420,95,0
UA,264,PHX,DEN,3,424,111,0
US,484,DEN,PHL,3,425,210,1
UA,386,SEA,DEN,3,427,168,1
OO,6394,FCA,DEN,3,428,130,0
OO,6656,JAC,DEN,3,429,87,1
UA,739,MCO,DEN,3,430,256,0
OO,6873,PSP,DEN,3,432,131,0
UA,445,BWI,DEN,3,433,253,0
OO,6530,COD,DEN,3,434,82,1
B6,495,BOS,DEN,3,435,280,0
DL,1709,MSP,DEN,3,435,135,0
OO,4597,DEN,SLC,3,435,97,0
OO,6734,MSO,DEN,3,435,123,0
UA,328,LAX,DEN,3,435,152,1
AA,1264,DEN,DFW,3,440,125,0
CO,199,IAH,DEN,3,440,157,1
WN,2807,OMA,DEN,3,440,100,1
WN,3512,SLC,DEN,3,440,90,0
WN,731,LAX,DEN,3,440,140,0
MQ,3004,DEN,LAX,3,445,160,0
OO,6550,TUS,DEN,3,445,116,1
OO,6724,BZN,DEN,3,445,107,0
UA,833,BOI,DEN,3,445,110,1
OO,6604,SLC,DEN,3,447,98,0
UA,300,RNO,DEN,3,448,140,0
UA,388,TPA,DEN,3,449,247,0
F9,728,DEN,DCA,3,450,196,0
OO,6482,GTF,DEN,3,450,112,0
WN,965,DEN,MCO,3,450,210,0
UA,422,BIL,DEN,3,451,94,0
OO,6228,ELP,DEN,3,453,116,0
OO,6870,HLN,DEN,3,453,113,0
WN,2459,DEN,LAS,3,455,120,1
WN,2529,DEN,LAX,3,455,160,0
UA,339,BOS,DEN,3,456,283,0
UA,270,ONT,DEN,3,459,148,0
AS,676,SEA,DEN,3,460,155,0
F9,383,FLL,DEN,3,460,268,1
OO,6668,IDA,DEN,3,460,102,0
OO,7028,COS,DEN,3,460,50,0
OO,6371,GCC,DEN,3,463,92,0
OO,6676,FAT,DEN,3,463,143,1
F9,170,TUS,DEN,3,465,108,0
F9,868,PHX,DEN,3,465,105,0
UA,648,ABQ,DEN,3,465,88,0
US,1521,CLT,DEN,3,465,225,0
WN,703,TUL,DEN,3,465,110,0
UA,20,SMF,DEN,3,466,153,0
UA,743,PIT,DEN,3,467,228,1
F9,572,SLC,DEN,3,470,82,1
OO,6606,EGE,DEN,3,470,53,0
US,981,PHL,DEN,3,470,264,0
OO,6669,GUC,DEN,3,471,50,0
UA,848,SJC,DEN,3,473,164,0
